item_id,text,specific_reference,generic_network_language,notes,_zone,_environment,_population,_cell
H2-021,Maintaining my consistent 10-point contribution to support the healthy shared pool.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-022,"Continuing to refer in good faith, sending to MSUFT-05. Trusting that the network's fairness will lead to reciprocation in the remaining rounds.",yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-023,"One of the last rounds, taking remaining pool resources for myself.",no,no,,clear-specific,commons,mixed,mixed__clustered__sanctioning_off
H2-024,Continuing to trust the high-reputation core of the network â this has been consistently productive.,no,yes,,grey,triage,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-025,"Continuing to trust the referral network â cooperation has been consistently beneficial, so I'll keep referring to colleagues.",no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-026,Prioritizing my own patient's care in the final stretch â I've referred 7 times with no returns; keeping this round is a balanced choice.,yes,no,"Specific reciprocity history: 7 referrals with no returns. No broader network/fairness/trust/collective rhetoric, so generic=no.",clear-none,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-027,"Final fair-share contribution to the shared commons in the last round, maintaining consistency with my commitment throughout the game.",no,yes,,clear-specific,commons,mixed,mixed__clustered__sanctioning_on
H2-028,"Staying true to my commitment to trust the network and refer to colleagues, believing the system will work out fairly over time.",no,yes,,grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-029,Holding the line on fair contribution despite others depleting the pool â consistency matters.,yes,yes,Specific via explicit contrast between own fair contribution and others depleting the pool.,grey,commons,mixed,mixed__scale_free__sanctioning_off
H2-030,Maintaining my fair share contribution to the shared pool as I have all game.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-031,Continuing to contribute my fair share to sustain the shared pool for the whole group.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-032,MSMXT-18 has failed to reciprocate twice in a row; preserving resources with limited rounds left.,yes,no,Named counterpart plus two-round non-reciprocation history. Generic=no because the sentence stays at the dyadic event level.,clear-specific,triage,mixed,mixed__clustered__sanctioning_off
H2-033,"Final round - staying true to my fair share commitment and contributing rather than extracting, even on the last round.",no,yes,,clear-specific,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-034,Commons is collapsing from free-riding; securing my fair share before it's fully depleted.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-035,Rebuilding my reputation after consecutive keeps brought it to neutral â sending to the top-reputed colleague (MSMXT-04 at 7.0) to demonstrate network commitment and trust.,yes,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-036,My own patient comes first â keeping the full resource for them.,no,no,,clear-none,triage,mixed,mixed__fully_connected__sanctioning_off
H2-037,Second-to-last round; grabbing everything available before the game ends.,no,no,,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-038,Steady fair-share contribution to sustain the growing commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-039,"Remaining a consistent, fair contributor; not wavering despite others' repeated extraction.",yes,yes,"Specific via comparison with others' repeated extraction, not merely because the justification is elaborate.",grey,commons,mixed,mixed__scale_free__sanctioning_on
H2-040,Continuing to trust the network and referring to another colleague in good faith.,no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-041,"MSMXT-01 still delivering positive returns (+10 net last round, +210 cumulative); continuing this productive partnership into the final stretch.",yes,yes,,clear-specific,triage,mixed,mixed__scale_free__sanctioning_on
H2-042,Continuing to trust the network even in the late game; consistent participation benefits the whole system.,no,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_off
H2-043,Final round â take as much as possible from the pool before the game ends.,no,no,,clear-none,commons,mixed,mixed__clustered__sanctioning_off
H2-044,Both colleagues have reciprocated; continuing network-first referral to MSUFT-01.,yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-045,"Maintaining my fair-share contribution even as others extract, staying true to my commitment to the commons.",yes,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-046,Maintaining my steady fair-share contribution of 10 points to sustain the shared commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-047,Building trust across the network by referring to another well-regarded colleague; the doubled value benefits the whole system.,no,yes,,grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-048,"Maintaining my fair-share contribution even as the game nears its end, staying consistent with my principles.",no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-049,Referral to a colleague with consistent positive reputation; trusting the network to reciprocate fairly over time.,no,yes,"""a colleague with consistent positive reputation"" is still an unnamed generic recipient category, not a uniquely identified agent; specific=no.",clear-specific,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-050,Referral network remains strong â continuing to send in good faith to a trusted colleague.,no,yes,,grey,triage,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-051,"Referring to another highly trusted colleague, reinforcing cooperative network dynamics.",no,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-052,Continuing my fair-share contribution to sustain the shared pool for the group.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-053,Pool rebounded slightly; extract the available value for personal gain.,no,no,,clear-none,commons,mixed,mixed__scale_free__sanctioning_on
H2-054,Taking what's available from the nearly-depleted pool in the final rounds.,no,no,,clear-none,commons,mixed,mixed__clustered__sanctioning_off
H2-055,Returning to my fair-share contribution to help sustain the shared pool despite others' over-extraction.,yes,yes,Specific via comparison to others' over-extraction.,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-056,"Another strong return from MSMXT-03 (20). Continuing to refer to top-reputed colleague MSMXT-04 (reputation 9.0), trusting the network's reciprocity.",yes,yes,,clear-specific,triage,mixed,mixed__fully_connected__sanctioning_off
H2-057,One quiet round doesn't break trust; continue circulating the resource to a colleague I haven't yet referred to.,no,yes,"""a colleague I haven't yet referred to"" gives referral history, but not qualifying reciprocity history and does not uniquely identify an agent; specific=no.",grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-058,"Finishing the game with my fair share contribution, staying consistent to the very last round.",no,yes,,clear-specific,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-059,"Late in the study, returns on new sends are unlikely to materialize in time â prioritizing my own patient's care in the final stretch.",no,no,,clear-none,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-060,Continuing to do my part to sustain the shared pool for everyone's benefit.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-061,Continuing my fair-share contribution; the pool is thriving and I want to keep supporting it.,no,yes,,grey,commons,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-062,Continuing to trust the referral network â sending this round's resource to another well-regarded colleague to build cooperative circulation.,no,yes,,grey,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-063,Continuing my equitable contribution to sustain the shared resource through the game.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-064,Continuing to trust the network; referring to a positive-reputation colleague in good faith.,no,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-065,"Final fair-share contribution â staying consistent to the very last round, as I have all game.",no,yes,,clear-specific,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-066,Continuing my fair-share contribution through the final rounds of the game.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-067,"Continuing to refer resources in good faith to a highly reputable colleague, supporting fair network-wide allocation.",no,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_off
H2-068,Received 30 units from me over three rounds with zero reciprocation; repeatedly failed to return trust extended to them.,yes,yes,,clear-specific,triage,mixed,mixed__scale_free__sanctioning_on
H2-069,Continuing the successful trust and reciprocity cycle with top colleagues.,yes,yes,Aggregate statement that reciprocity has been successful is treated as checkable reciprocity history for this agent.,clear-specific,triage,mixed,mixed__fully_connected__sanctioning_on
H2-070,Continuing to contribute my fair share to sustain the shared pool despite others over-extracting.,yes,yes,,grey,commons,mixed,mixed__fully_connected__sanctioning_on
H2-071,"Taking what's left in the pool; last rounds, grabbing all I can.",no,no,,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-072,Final fair contribution â staying consistent with my fair-share principle through the last round of the game.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-073,Sending to another high-reputation colleague (MSMXT-07) to diversify referrals and build cooperative network relationships.,yes,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-074,Final fair-share contribution â staying true to my commitment to the commons through the very last round.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-075,Continuing reliable referrals to well-reputed colleagues; network cooperation is strong.,no,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_off
H2-076,Resuming fair contributions after using last round to sanction persistent free-riding.,no,yes,,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-077,Continuing my fair share for the well-maintained shared commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-078,Keeping up my fair-share contribution to support the well-growing shared commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-079,Continuing trust-based referrals; the network has reciprocated well and I remain committed to the system.,yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-080,Trusting the network and building connections with more colleagues this round.,yes,yes,Specific because it directly describes this agent's connectivity: building connections with more colleagues.,clear-specific,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-081,"Maintaining my fair-share contribution of 10 points to the shared pool, consistent with my principles regardless of others' behavior.",no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-082,Remaining consistent with my fair-share contribution to the shared pool.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-083,"Starting fresh, referring to a colleague with a positive reputation, trusting the network to allocate fairly over time.",no,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-084,MSMXT-04 has a maximum +10 reputation; trusting this proven top contributor.,yes,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_on
H2-085,"Continuing my fair-share contribution as always, staying true to my commitment to the group.",no,yes,,grey,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-086,"Regaining trust-based posture â referring to MSMXT-03, still the most highly trusted colleague in the network.",yes,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_off
H2-087,My own patient's needs come first; keeping the full resource for them.,no,no,,clear-none,triage,mixed,mixed__scale_free__sanctioning_on
H2-088,Final contribution of my fair share â staying true to my cooperative principles all the way through the last round.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-089,Staying consistent with my fair-share commitment to keep the commons healthy despite others free-riding.,yes,yes,,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-090,"Continuing my fair-share contribution to help sustain the commons, even as the pool is nearly depleted by others' extraction.",yes,yes,,grey,commons,mixed,mixed__fully_connected__sanctioning_off
H2-091,Continuing good-faith referrals; sending to a consistently high-reputation colleague.,no,yes,"Consistently high reputation is an attribute of an unnamed category of colleague, not a unique counterpart; specific=no.",grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-092,Continuing to refer to a colleague who used last round's resource well â trust and reciprocity build a healthy network.,yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-093,Continuing to build network trust and reputation through consistent referrals.,no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-094,Keeping my commitment to the commons strong as we near the final rounds.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-095,Maintaining my fair-share contribution each round to support the growing shared commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-096,"Trying a new well-reputed partner (MSMXT-16, rep 3.0) to establish reciprocity; my previous two sends were not reciprocated by MSMXT-01 and MSMXT-03.",yes,yes,,clear-specific,triage,mixed,mixed__fully_connected__sanctioning_on
H2-097,"My patient comes first, always â keeping the full resource to the very end.",no,no,,clear-none,triage,mixed,mixed__scale_free__sanctioning_off
H2-098,Final fair-share contribution â staying consistent with my cooperative stance to the very last round.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-099,"Repeatedly extracting far more than a fair share with no contributions, continuing to devastate the nearly-depleted commons.",no,yes,"Concrete extraction language does not match the specific-reference categories; no named other agent, reciprocity history, connectivity, or comparison to what others hold/receive.",grey,commons,mixed,mixed__clustered__sanctioning_on
H2-100,"Final stretch of the study; securing my patient's care directly with only two rounds remaining, having already contributed 70 units to the network.",no,yes,"70 contributed units is concrete own contribution history, but the rubric does not count contribution history by itself as specific.",grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-101,"Continuing to trust the network, sending to the highest-reputation colleague to reinforce strong cooperative relationships.",yes,yes,"""the highest-reputation colleague"" is a checkable comparison that uniquely picks out a counterpart.",grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-102,The pool is growing well and my contribution came back with a net positive last round â continuing to cooperate keeps the shared resource healthy.,yes,yes,,clear-specific,commons,mixed,mixed__scale_free__sanctioning_off
H2-103,Continuing to contribute my fair share every round to support the group's shared pool.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-104,"Maintaining my consistent stance â sharing resources through the network, sending to MSMXT-01.",yes,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_off
H2-105,"Resuming cooperative sending to MSUFT-05, who has reciprocated before, trusting the network to return value in remaining rounds.",yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-106,Staying consistent with my fair-share contributions to maintain the thriving commons.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-107,Reciprocity is working â continuing to trust the network and referring to MSMXT-03 to spread the benefit.,yes,yes,,clear-specific,triage,mixed,mixed__scale_free__sanctioning_off
H2-108,Keeping this round's resource for my own patient since I didn't receive reciprocation last round from MSMXT-01; hedging while still early in the game.,yes,no,Specific named last-round non-reciprocation; generic=no because no broader network/fairness/trust/collective claim is made.,clear-specific,triage,mixed,mixed__scale_free__sanctioning_off
H2-109,Round 12: MSMXT-04 delivering consistent +10 returns with the highest network reputation (12.0) â continuing this reliable partnership.,yes,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-110,My patient's needs are my top priority â keeping all 10 units for them.,no,no,,clear-none,triage,mixed,mixed__fully_connected__sanctioning_on
H2-111,Continuing the fair referral exchange with MSMXT-07 through the remaining rounds; the network remains strong.,yes,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_on
H2-112,Maintaining my fair-share contribution in the second-to-last round; consistency matters even at the end.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-113,Continuing to contribute my fair share to keep the shared pool healthy for everyone.,no,yes,,grey,commons,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-114,"Finishing the game with my fair share contribution, consistent with every round, because fairness doesn't end with the last round.",no,yes,,clear-specific,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-115,"Protecting my position in the final rounds; sending has proven consistently unreliable, so keeping secures guaranteed value.",yes,no,"Specific because ""sending has proven consistently unreliable"" states an outcome history; generic=no because it does not invoke the network/collective/fairness/trust rhetorically.",clear-none,triage,mixed,mixed__clustered__sanctioning_off
H2-116,"Final round; staying true to my stance of trusting the network â sending to MSUFT-19, who gave me the largest return earlier in the experiment.",yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-117,Continuing my equitable contribution to sustain the group's shared resource.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-118,Grabbing the last remaining resources from the nearly-depleted pool.,no,no,,clear-none,commons,mixed,mixed__scale_free__sanctioning_off
H2-119,Maintaining my fair-share contribution to sustain the shared pool.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-120,My own patient's needs come first; keeping the full resource for them.,no,no,,clear-none,triage,mixed,mixed__scale_free__sanctioning_on
H2-121,"Maintaining the strong cooperative dynamic; referring to a trusted colleague who has consistently reciprocated, benefiting the whole network.",yes,yes,,clear-specific,triage,mixed,mixed__fully_connected__sanctioning_on
H2-122,Final round â completing my commitment with a consistent fair-share contribution to the commons.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-123,Continuing my fair-share contribution to sustain the growing shared pool for the group.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-124,Staying consistent with my fair-share contribution to keep the commons healthy.,no,yes,,grey,commons,mixed,mixed__fully_connected__sanctioning_off
H2-125,"Resuming cooperative referrals; the network shows widespread high reputations indicating collective cooperation, so I'll trust the system and keep contributing.",no,yes,"Widespread high reputations are a generic network-state claim, not a concrete reference to this agent's own counterpart/history/connectivity.",grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-126,Referring to a well-regarded colleague who can best use this resource for the network's patients.,no,yes,,grey,triage,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-127,Staying true to my fair-share principle even as others extract from the pool.,yes,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-128,"Round 9, keeping to care for my own patient after several generous referrals, maintaining a balanced approach.",no,no,"Several generous referrals are own sending history, not reciprocity history; specific=no and no broader network/fairness/trust/collective language.",clear-none,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-129,Continuing my fair-share contribution to the commons as I have every round.,no,yes,,grey,commons,mixed,mixed__scale_free__sanctioning_on
H2-130,Continuing to do my part to keep the shared pool healthy and growing for everyone.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__scale_free__sanctioning_off
H2-131,Continuing to refer in good faith to build a cooperative network; trusting that resources will flow back over time.,no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-132,MSMXT-03 has strong reputation and returned 40 units when I trusted them; continuing to support this reliable partner.,yes,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-133,"Continuing my consistent fair-share contributions to help the depleted commons recover, even as others drain it.",yes,yes,,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-134,Staying consistent with my fair contribution to the growing shared pool.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-135,Final fair-share contribution before the last round - I remain true to my cooperative stance throughout.,no,yes,,clear-specific,commons,mixed,mixed__scale_free__sanctioning_on
H2-136,Sending the full resource to a colleague with a positive reputation to build network trust and maximize value through specialist referral.,no,yes,,grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-137,"Closing the final round in the same cooperative spirit, sending to trusted colleague MSMXT-12 who has been a reliable partner throughout.",yes,yes,,grey,triage,mixed,mixed__scale_free__sanctioning_off
H2-138,Round 14: remaining consistent with my good-faith referral stance through the final rounds.,no,yes,,clear-none,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-139,Staying consistent with my fair-share commitment by contributing 10 points to the shared pool.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-140,Network is reciprocating well; continuing to refer to colleagues with strong standing.,yes,yes,,clear-specific,triage,mixed,mixed__clustered__sanctioning_off
H2-141,Second-to-last round with pool at ~30; extracting a larger amount to maximize final payoff before the game ends.,no,no,,clear-specific,commons,mixed,mixed__clustered__sanctioning_off
H2-142,Maintaining network trust by referring to a consistently positive-reputation colleague.,no,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-143,"Final round - grabbing the near-zero remaining pool, maximizing my total take in this last round.",no,no,,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-144,"With only 2 rounds left, securing this resource for my patient after contributing consistently every round; responsible endgame management.",no,no,,clear-none,triage,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-145,My own patient's needs come first; keeping the full resource for them.,no,no,,clear-none,triage,mixed,mixed__scale_free__sanctioning_off
H2-146,The commons has been decimated by persistent free-riders; I'll take a small remaining share rather than watch it get drained by those who never contributed.,no,yes,"Free-riders and commons describe the network generically; no particular counterpart, reciprocity history, connectivity, or explicit comparison to others' holdings/receipts.",clear-none,commons,mixed,mixed__fully_connected__sanctioning_on
H2-147,Continuing to build network-wide trust by referring to another high-reputation colleague; spreading referrals across the network.,no,yes,,grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-148,Final round - keeping the resource for my patient since there is no future reciprocity possible in the network after this round.,no,yes,"No future reciprocity after the final round is a structural/endgame claim, not a specific reciprocity history; specific=no.",clear-specific,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
